IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
120058272,WEAPON LAWS,POSS OF PROHIBITED WEAPON,Friday,01/29/2016 12:00:00 AM,11:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-94.40340479,39.77542071,"(39.775420706711, -94.403404791479)",1.20058E+13
120058272,WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",Friday,01/29/2016 12:00:00 AM,11:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-94.40340479,39.77542071,"(39.775420706711, -94.403404791479)",1.20058E+13
141059263,WARRANTS,WARRANT ARREST,Monday,04/25/2016 12:00:00 AM,14:59,BAYVIEW,"ARREST, BOOKED",KEITH ST / SHAFTER AV,-94.3888562,39.72998097,"(39.7299809672996, -94.388856204292)",1.41059E+13
160013662,NON-CRIMINAL,LOST PROPERTY,Tuesday,01-05-16 00:00,23:50,TENDERLOIN,NONE,JONES ST / OFARRELL ST,-94.41297054,39.7857884,"(39.7857883966888, -94.412970539591)",1.60014E+13
160002740,NON-CRIMINAL,LOST PROPERTY,Friday,01-01-16 00:00,00:30,MISSION,NONE,16TH ST / MISSION ST,-94.41967178,39.76505012,"(39.7650501214668, -94.419671780296)",1.60003E+13
160002869,ASSAULT,BATTERY,Friday,01-01-16 00:00,21:35,NORTHERN,NONE,1700 Block of BUSH ST,-94.42607718,39.78801856,"(39.788018555829, -94.426077177395)",1.60003E+13
160003130,OTHER OFFENSES,PAROLE VIOLATION,Saturday,01-02-16 00:00,00:04,SOUTHERN,"ARREST, BOOKED",MARY ST / HOWARD ST,-94.40572145,39.78087894,"(39.7808789360214, -94.405721454567)",1.60003E+13
160003259,NON-CRIMINAL,FIRE REPORT,Saturday,01-02-16 00:00,01:02,TENDERLOIN,NONE,200 Block of EDDY ST,-94.4117783,39.78398056,"(39.7839805592634, -94.411778295992)",1.60003E+13
160003970,WARRANTS,WARRANT ARREST,Saturday,01-02-16 00:00,12:21,SOUTHERN,"ARREST, BOOKED",4TH ST / BERRY ST,-94.39335724,39.77578762,"(39.7757876218293, -94.393357241451)",1.60004E+13
160003641,MISSING PERSON,FOUND PERSON,Friday,01-01-16 00:00,10:06,BAYVIEW,NONE,100 Block of CAMERON WY,-94.38718164,39.72096696,"(39.7209669615499, -94.387181635995)",1.60004E+13
160086863,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Friday,01/29/2016 12:00:00 AM,22:30,TARAVAL,NONE,1200 Block of 19TH AV,-94.47739652,39.76447816,"(39.7644781578695, -94.477396524003)",1.60087E+13
160004053,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,01-02-16 00:00,13:30,TARAVAL,NONE,2200 Block of 21ST AV,-94.47796033,39.74573894,"(39.7457389429655, -94.477960327299)",1.60004E+13
160073014,OTHER OFFENSES,RESISTING ARREST,Monday,01/25/2016 12:00:00 AM,23:20,BAYVIEW,"ARREST, BOOKED",200 Block of HUNTERSPOINT BL,-94.39675766,39.73569703,"(39.7356970275482, -94.39675765553)",1.60073E+13
140776777,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Thursday,09/15/2016 12:00:00 AM,07:40,INGLESIDE,"ARREST, BOOKED",SILVER AV / CAMELLIA AV,-94.43232587,39.72927052,"(39.7292705199592, -94.432325871028)",1.40777E+13
160004069,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,01-02-16 00:00,01:43,CENTRAL,NONE,100 Block of SANSOME ST,-94.4009087,39.79164298,"(39.791642982384, -94.40090869889)",1.60004E+13
160004150,STOLEN PROPERTY,"STOLEN CHECKS, POSSESSION",Saturday,01-02-16 00:00,11:54,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-94.40859511,39.78390693,"(39.7839069301545, -94.408595110869)",1.60004E+13
160004241,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Saturday,01-02-16 00:00,14:11,MISSION,NONE,900 Block of POTRERO AV,-94.4068704,39.75728959,"(39.7572895904578, -94.406870402082)",1.60004E+13
160004558,ASSAULT,BATTERY WITH SERIOUS INJURIES,Saturday,01-02-16 00:00,16:40,MISSION,NONE,VALENCIA ST / 26TH ST,-94.42035478,39.74890631,"(39.7489063051829, -94.420354780861)",1.60005E+13
160004655,ASSAULT,BATTERY,Saturday,01-02-16 00:00,17:05,INGLESIDE,NONE,900 Block of GENEVA AV,-94.43990977,39.71576543,"(39.715765426995, -94.439909766772)",1.60005E+13
160004839,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,01-02-16 00:00,17:39,SOUTHERN,JUVENILE BOOKED,900 Block of MARKET ST,-94.40842112,39.78356994,"(39.7835699386918, -94.408421116922)",1.60005E+13
160005421,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Saturday,01-02-16 00:00,21:00,NORTHERN,NONE,GOUGH ST / ROSE ST,-94.42231567,39.77361863,"(39.7736186276456, -94.422315670749)",1.60005E+13
160005750,WARRANTS,WARRANT ARREST,Sunday,01-03-16 00:00,04:03,NORTHERN,"ARREST, BOOKED",FRANKLIN ST / WASHINGTON ST,-94.42451984,39.79284128,"(39.7928412840447, -94.424519835009)",1.60006E+13
160005841,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,01-03-16 00:00,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-94.41423385,39.75409869,"(39.7540986882068, -94.414233849038)",1.60006E+13
160005841,OTHER OFFENSES,PROBATION VIOLATION,Sunday,01-03-16 00:00,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-94.41423385,39.75409869,"(39.7540986882068, -94.414233849038)",1.60006E+13
